Author,Mapped Genres
william l. ury,"non-fiction, psychology, philosophy, management, business, social"
maracho cristina,"mystery, young adult, fiction, thriller, lgbt, mystery, audiobook"
marsha forchuk skrypuch,"historical, middle grade, young adult, historical, world war ii, fiction, war"
mackler carolyn,"young adult, romance, contemporary, realistic fiction, chick lit, teen, fiction"
lore pittacus,"young adult, fantasy, science fiction, fiction, aliens, adventure, paranormal"
young suzanne,"dystopia, young adult, romance, science fiction, fiction, mental health, audiobook"
gregory philippa,"historical, fiction, historical, romance, tudor period, british literature, adult"
hoover colleen,"contemporary, new adult, fiction, contemporary, audiobook, adult, chick lit"
bray libba,"fantasy, young adult, historical, paranormal, audiobook, mystery, historical"
rick riordan,"fantasy, mythology, young adult, fiction, middle grade, adventure, greek mythology"
meg cabot,"young adult, romance, contemporary, chick lit, fiction, teen, realistic fiction"
pat conroy,"fiction, historical, military, southern, classics, , coming of age"
lisa scottoline,"mystery, fiction, thriller, law, mystery, suspense, crime"
alicia d. williams,"middle grade, realistic fiction, young adult, fiction, contemporary, african american, family"
nol alyson,"young adult, fantasy, paranormal, romance, fiction, supernatural, paranormal"
ron koertge,"young adult, lgbt, , fiction, queer, teen, romance"
myers jason,"young adult, realistic fiction, romance, fiction, contemporary, abuse, mystery"
alex sanchez,"young adult, fiction, abuse, lgbt, contemporary, realistic fiction, teen"
do anh,"childrens, fiction, school"
black holly,"short stories, young adult, fiction, anthology, contemporary, humor, fantasy"
c. c. hunter,"fantasy, young adult, paranormal, vampires, romance, werewolves, supernatural"
nina lacour,"young adult, contemporary, mental health, fiction, realistic fiction, lgbt, romance"
cecily von ziegesar,"young adult, chick lit, contemporary, fiction, romance, high school, boarding school"
rick riordan,"fantasy, mythology, young adult, middle grade, fiction, adventure, greek mythology"
ward david,"fantasy, young adult, dystopia, childrens"
francesca lia block,"young adult, fiction, fantasy, magic, romance, urban, magic"
cohn rachel,"young adult, romance, contemporary, christmas, fiction, holiday, realistic fiction"
steel danielle,"romance, fiction, chick lit, adult, drama, contemporary, contemporary"
p. c. cast,"young adult, fantasy, vampires, paranormal, fiction, romance, supernatural"
gena showalter,"fantasy, young adult, retellings, romance, young adult, magic, fiction"
amber j. keyser,"non-fiction, feminism, adult, social, politics, womens, womens"
rex ogle,"young adult, mental health, abuse, biography, middle grade, teen, survival"
laurie halse anderson,"young adult, contemporary, realistic fiction, fiction, romance, mental health, mental health"
mary mccarthy,"memoir, biography, non-fiction, autobiography, american, biography"
brent hartinger,"young adult, lgbt, fiction, queer, contemporary, gay, romance"
milan kundera,"fiction, philosophy, , , romance, czech literature, classics"
linda sue park,"historical, young adult, middle grade, fiction, africa, school, realistic fiction"
saraciea j. fennell,"short stories, young adult, poetry, anthology, audiobook, essays, lgbt"
j. p. delaney,"thriller, mystery, fiction, mystery, suspense, audiobook, psychology"
clayton dhonielle,"young adult, contemporary, mystery, thriller, mental health, mystery, realistic fiction"
mead richelle,"graphic novel, vampires, young adult, fantasy, paranormal, romance, comic book"
cormac mccarthy,"fiction, science fiction, dystopia, post apocalyptic, horror, , "
shaun david hutchinson,"young adult, short stories, contemporary, anthology, lgbt, fiction, retellings"
cecil castellucci,"science fiction, young adult, aliens, space, romance, fiction, dystopia"
moss marissa,"historical, young adult, historical, fiction"
j.k. rowling,"fiction, contemporary, mystery, adult, adult, audiobook, drama"
richard appignanesi,"manga, fantasy, graphic novel, classics, comic book, romance, plays"
henri charrire,"non-fiction, biography, classics, memoir, adventure, autobiography, france"
gabriel garca mrquez,"fiction, magic, fantasy, , historical, , spain"
maggie stiefvater,"young adult, fantasy, romance, paranormal, werewolves, fiction, paranormal"
harris joanne,"fiction, romance, magic, france, fantasy, contemporary, historical"
flom jason,"picture books, childrens, animals, dogs, fiction, humor, graphic novel"
mary anne shaffer,"historical, fiction, romance, historical, world war ii, audiobook, book club"
p. c. cast,"young adult, vampires, fantasy, paranormal, romance, fiction, supernatural"
john grisham,"fiction, historical, mystery, thriller, suspense, historical, "
sparks nicholas,"romance, fiction, chick lit, contemporary, adult, contemporary, adult"
colleen a. f. venable,"graphic novel, lgbt, young adult, comic book, queer, romance, fiction"
reeve philip,"steampunk, young adult, fantasy, science fiction, fiction, dystopia, teen"
george ella lyon,"picture books, childrens"
ann brashares,"young adult, fiction, chick lit, contemporary, romance, teen, realistic fiction"
scott libby,"autistic spectrum disorder, middle grade, fiction, contemporary, disability, young adult, realistic fiction"
larry watson,"fiction, historical, westerns, coming of age, school, classics, literary fiction"
jordan sonnenblick,"young adult, realistic fiction, fiction, humor, middle grade, teen, contemporary"
hoover colleen,"romance, new adult, young adult, contemporary, fiction, contemporary, abuse"
cat clarke,"lgbt, middle grade, young adult, contemporary, realistic fiction, fiction, queer"
george r. r. martin,"fantasy, fiction, epic, high fantasy, science fiction, adult, audiobook"
kara thomas,"mystery, young adult, thriller, mystery, audiobook, fiction, contemporary"
juliet marillier,"fantasy, romance, fiction, historical, young adult, fairy tales, retellings"
antonia michaelis,"fantasy, dragons, young adult, urban, fiction"
ken follett,"fiction, historical, thriller, mystery, historical, suspense, espionage"
zinn howard,"historical, non-fiction, politics, american, historical, audiobook, social"
xiran jay zhao,"fantasy, science fiction, young adult, lgbt, queer, fiction, romance"
juno dawson,"non-fiction, lgbt, , queer, gay, self help, humor"
anna godberson,"historical, young adult, romance, historical, fiction, historical, chick lit"
maguire gregory,"fantasy, fiction, adult, retellings, audiobook, witches, classics"
couch robbie,"young adult, romance, contemporary, lgbt, queer, fiction, audiobook"
crew linda,"historical, young adult, fiction, historical, cults, teen, "
sass adam,"young adult, lgbt, thriller, contemporary, queer, mystery, fiction"
melissa de la cruz,"young adult, vampires, fantasy, paranormal, romance, angels, supernatural"
jr. kurt vonnegut,"fiction, science fiction, classics, historical, war, , "
lolly winston,"fiction, chick lit, romance, contemporary, audiobook, adult, adult"
john brindley,"science fiction, dystopia, young adult, adventure, fiction"
mindy mcginnis,"young adult, contemporary, fiction, realistic fiction, audiobook, mental health, sports"
james patterson,"mystery, fiction, thriller, suspense, crime, mystery, audiobook"
hoover colleen,"romance, new adult, contemporary, fiction, contemporary, young adult, audiobook"
cook karin,"fiction, literary fiction, coming of age, illness, , young adult, contemporary"
kevin panetta,"graphic novel, romance, young adult, lgbt, queer, comic book, contemporary"
do anh,"childrens, graphic novel"
iturbe antonio,"historical, young adult, fiction, historical, holocaust, world war ii, war"
aaron starmer,"young adult, contemporary, fiction, humor, romance, mystery, science fiction"
jeff zentner,"young adult, fiction, realistic fiction, contemporary, romance, audiobook, coming of age"
janet tashjian,"young adult, fiction, realistic fiction, abuse, romance, teen, young adult"
john barnes,"young adult, fiction, historical, realistic fiction, contemporary, teen, coming of age"
ormsbee kathryn,"middle grade, lgbt, contemporary, realistic fiction, music, fiction, juvenile"
phil stamper,"lgbt, romance, young adult, contemporary, queer, fiction, gay"
kevin brooks,"young adult, fiction, romance, contemporary, mystery, realistic fiction, young adult"
nora roberts,"romance, romance, mystery, fiction, contemporary, contemporary, suspense"
matson morgan,"young adult, contemporary, romance, fiction, road trip, young adult, realistic fiction"
geraldine mccaughrean,"historical, young adult, fiction, historical, adventure, survival, scotland"
smythe rachel,"graphic novel, fantasy, romance, mythology, comic book, fiction, retellings"
louise rennison,"young adult, romance, humor, fiction, chick lit, contemporary, teen"
feder tyler,"graphic novel, memoir, non-fiction, comic book, death, family, biography"
jennifer a. nielsen,"fantasy, young adult, romance, audiobook, young adult, fiction, adventure"
iles greg,"mystery, fiction, thriller, suspense, mystery, crime, horror"
dusti bowling,"middle grade, realistic fiction, fiction, mystery, young adult, audiobook, disability"
elle cosimano,"young adult, mystery, mystery, romance, thriller, contemporary, suspense"
isabel sterling,"fantasy, lgbt, young adult, romance, lesbian, queer, witches"
sara shepard,"young adult, mystery, fiction, contemporary, romance, chick lit, thriller"
lynch chris,"young adult, contemporary, fiction, realistic fiction, family"
cecily von ziegesar,"young adult, chick lit, fiction, contemporary, romance, teen, high school"
noone gabby,"young adult, romance, fantasy, contemporary, fiction, magic, humor"
claire legrand,"fantasy, young adult, young adult, romance, fiction, high fantasy, magic"
jennifer lynn barnes,"young adult, mystery, espionage, romance, contemporary, high school, action"
james dashner,"young adult, dystopia, science fiction, fiction, fantasy, audiobook, post apocalyptic"
stephen r. donaldson,"fantasy, fiction, science fiction, epic, science fiction, high fantasy, epic"
donna kauffman,"romance, chick lit, contemporary, contemporary, fiction, humor, paranormal"
mindy mcginnis,"young adult, dystopia, post apocalyptic, science fiction, audiobook, fiction, survival"
henry emily,"young adult, romance, fantasy, contemporary, time travel, magic, fiction"
lisa bunker,"middle grade, lgbt, queer, realistic fiction, young adult, fiction, mystery"
susan dennard,"fantasy, young adult, magic, young adult, witches, romance, high fantasy"
david benioff,"historical, fiction, war, historical, russia, world war ii, audiobook"
hale shannon,"graphic novel, middle grade, memoir, mental health, comic book, realistic fiction, childrens"
meg cabot,"young adult, romance, chick lit, contemporary, fiction, teen, realistic fiction"
mary h.k. choi,"fiction, contemporary, young adult, mental health, romance, audiobook, new adult"
clare cassandra,"fantasy, young adult, romance, historical, young adult, paranormal, urban"
avery monsen,"humor, fiction, graphic novel, picture books, comic book, comedy, childrens"
mafi tahereh,"fantasy, dystopia, romance, young adult, science fiction, fiction, romance"
janet evanovich,"mystery, fiction, humor, chick lit, romance, audiobook, crime"
james w. bennett,"baseball, sports"
sarah j. maas,"young adult, romance, fiction, magic, romance, young adult, high fantasy"
coben harlan,"mystery, fiction, thriller, crime, suspense, mystery, audiobook"
kody keplinger,"young adult, romance, contemporary, sports, chick lit, high school, realistic fiction"
stasia ward kehoe,"young adult, contemporary, romance, realistic fiction, poetry, music, fiction"
susan beth pfeffer,"young adult, dystopia, science fiction, post apocalyptic, fiction, survival, apocalyptic"
tehlor kay mejia,"fantasy, young adult, lgbt, lesbian, queer, fiction, romance"
king stephen,"horror, fiction, short stories, thriller, mystery, fantasy, drama"
puzo mario,"historical, fiction, historical, italy, crime, thriller, audiobook"
rowell rainbow,"young adult, contemporary, fiction, realistic fiction, new adult, audiobook, coming of age"
stieg larsson,"fiction, mystery, thriller, crime, mystery, suspense, audiobook"
oppel kenneth,"young adult, historical, romance, historical, adventure, fiction, teen"
natalie c. anderson,"young adult, realistic fiction, contemporary, fiction, war, africa, historical"
stansbie stephanie,"family, picture books, childrens, lgbt, storytime, love, fiction"
maria isabel sanchez vegara,"picture books, non-fiction, biography, music, childrens, lgbt, historical"
sara gruen,"fiction, historical, romance, historical, adult, adult, contemporary"
han jenny,"young adult, contemporary, paranormal, romance, fantasy, fiction, mystery"
patricia c. wrede,"fantasy, young adult, dragons, fiction, middle grade, childrens, magic"
newth mette,"historical, young adult, fiction, disease, illness, historical"
anne mccaffrey,"fantasy, science fiction, dragons, fiction, science fiction, young adult, high fantasy"
fahy thomas,"horror, young adult, mystery, fiction, supernatural, thriller, romance"
ken follett,"historical, fiction, historical, fantasy, classics, audiobook, medieval"
diana gabaldon,"historical, romance, fantasy, fiction, time travel, historical, historical"
mark oshiro,"young adult, contemporary, lgbt, fiction, queer, realistic fiction, mental health"
savit gavriel,"historical, young adult, fiction, historical, war, audiobook, world war ii"
meg cabot,"young adult, romance, historical, historical, historical, chick lit, fiction"
walker richard,"science, non-fiction, childrens, reference, education, medical, health"
burgan michael,"graphic novel, childrens, non-fiction, egypt, historical"
andrea robertson,"young adult, fantasy, paranormal, werewolves, romance, magic, supernatural"
armas elena,"enemies to lovers, contemporary, contemporary, fiction, adult, audiobook, chick lit"
hoover colleen,"romance, contemporary, fiction, contemporary, audiobook, new adult, adult"
uwem akpan,"fiction, short stories, africa, historical, war, africa, rwanda"
iris johansen,"mystery, fiction, suspense, romance, thriller, romance, mystery"
ruta sepetys,"historical, young adult, historical, fiction, mystery, romance, coming of age"
kimberly brubaker bradley,"historical, middle grade, fiction, young adult, historical, world war ii, childrens"
nancy werlin,"young adult, fantasy, romance, fiction, paranormal, teen, magic"
woodson jacqueline,"fiction, historical, audiobook, young adult, coming of age, literary fiction, adult"
lynch chris,"young adult, realistic fiction, fiction, teen, contemporary, sports, abuse"
alane ferguson,"mystery, young adult, crime, teen, thriller, contemporary, suspense"
emmy laybourne,"young adult, dystopia, post apocalyptic, science fiction, survival, apocalyptic, fiction"
chee traci,"historical, young adult, historical, fiction, audiobook, contemporary, world war ii"
mead richelle,"young adult, fantasy, vampires, paranormal, romance, urban, paranormal"
cecily von ziegesar,"young adult, chick lit, contemporary, romance, fiction, high school, teen"
f. t. lukens,"fantasy, lgbt, romance, young adult, queer, pirates, historical"
maln. alegra,"young adult, contemporary, realistic fiction, romance, fiction, coming of age, latin american"
king stephen,"fantasy, fiction, horror, science fiction, audiobook, adventure, science fiction"
cecily von ziegesar,"young adult, chick lit, fiction, contemporary, romance, teen, high school"
laura marx fitzgerald,"mystery, middle grade, art, fiction, young adult, childrens, realistic fiction"
love jessica,"picture books, lgbt, childrens, queer, realistic fiction, family, love"
lauren myracle,"young adult, fiction, contemporary, realistic fiction, chick lit, , romance"
laura hopper,"romance, young adult, contemporary, realistic fiction, , fiction, teen"
kate messner,"middle grade, realistic fiction, mystery, family, fiction, sports, contemporary"
quin sara,"memoir, non-fiction, lgbt, music, queer, audiobook, biography"
alameda courtney,"fantasy, young adult, paranormal, mythology, urban, young adult, fiction"
verdi jessica,"young adult, lgbt, contemporary, realistic fiction, fiction, romance, teen"
meyer marissa,"romance, young adult, short stories, contemporary, anthology, lgbt, fiction"
adams douglas,"science fiction, fiction, humor, fantasy, comedy, science fiction, audiobook"
sarah j. maas,"young adult, romance, fantasy, fiction, fae, magic, romance"
ayn rand,"fiction, classics, philosophy, politics, , science fiction, "
jayne ann krentz,"romance, contemporary, contemporary, fiction, audiobook, suspense, historical"
huff tanya,"fantasy, urban, fiction, paranormal, magic, dragons, romance"
resau laura,"young adult, fiction, realistic fiction, cultural, romance, travel, coming of age"
golden arthur,"fiction, historical, romance, historical, adult, , asia"
hoover colleen,"romance, new adult, contemporary, audiobook, novella, fiction, contemporary"
wendy markham,"chick lit, fiction, romance, adult, contemporary, contemporary, womens"
mason deaver,"lgbt, young adult, romance, queer, contemporary, fiction, mental health"
steve parker,"science, non-fiction, health"
