Title,Mapped Genres
Maus 1: A Survivor's Tale: My Father Bleeds History,"graphic novel, comic book, historical, non-fiction, memoir, holocaust, biography"
Snakeroot,"young adult, fantasy, paranormal, werewolves, romance, magic, supernatural"
All the Invisible Things,"lgbt, young adult, contemporary, queer, romance, fiction, bisexual"
Two-Way Street,"young adult, romance, contemporary, road trip, chick lit, realistic fiction, fiction"
You Don't Know Me,"young adult, fiction, realistic fiction, abuse, contemporary, teen, high school"
Lobizona,"fantasy, young adult, fiction, magic, paranormal, urban, young adult"
The Passage,"horror, fiction, science fiction, fantasy, post apocalyptic, vampires, dystopia"
Confessions of a Shopaholic,"chick lit, fiction, romance, contemporary, humor, adult, contemporary"
Cut,"young adult, fiction, mental health, realistic fiction, mental health, contemporary, psychology"
Kindred: A Graphic Novel Adaptation,"graphic novel, historical, fiction, science fiction, time travel, fantasy, historical"
Christine,"horror, fiction, thriller, fantasy, paranormal, supernatural, mystery"
Divine Secrets of the Ya-Ya Sisterhood,"fiction, chick lit, contemporary, adult, historical, southern, adult"
Blackout,"romance, young adult, short stories, contemporary, lgbt, fiction, audiobook"
Sudden Fiction: American Short Stories,"short stories, fiction, anthology, fiction, literary fiction, contemporary, school"
Hurricane Child,"middle grade, lgbt, magic, queer, fiction, young adult, contemporary"
Bangkok 8,"mystery, fiction, crime, thriller, asia, mystery, detective"
Wonder Woman: Warbringer,"fantasy, young adult, superheroes, fiction, mythology, audiobook, retellings"
Elevation,"fiction, horror, fantasy, audiobook, short stories, mystery, novella"
Insatiable,"romance, vampires, fantasy, paranormal, chick lit, fiction, paranormal"
Princess in Training,"young adult, romance, fiction, contemporary, chick lit, teen, childrens"
Plague in the Mirror,"young adult, historical, time travel, fantasy, romance, paranormal, historical"
Bloody Valentine,"vampires, young adult, fantasy, paranormal, romance, angels, urban"
When Aidan Became a Brother,"picture books, lgbt, family, childrens, realistic fiction, queer, gender"
Illuminae,"science fiction, young adult, romance, fantasy, fiction, audiobook, dystopia"
Who Is Dolly Parton?,"biography, non-fiction, childrens, music, middle grade, historical, biography"
Monsters,"young adult, zombies, dystopia, horror, post apocalyptic, science fiction, fiction"
Wuthering Heights,"fiction, gothic, historical, , historical, , 19th century"
Too Soon For Jeff,"fiction, young adult, teen"
Lightning,"romance, fiction, chick lit, contemporary, adult, contemporary, drama"
Sleeping Beauties,"horror, fantasy, fiction, thriller, audiobook, mystery, science fiction"
Everything Everything,"young adult, romance, contemporary, fiction, realistic fiction, audiobook, young adult"
Glimpse: A YA Paranormal Romance,"young adult, paranormal, fantasy, romance, paranormal, supernatural, fiction"
Perfidia,"fiction, contemporary"
Monkey Man,mystery
Keeper,"fantasy, middle grade, fiction, young adult, childrens, magic, mermaids"
Téo's Tutu,"picture books, lgbt, childrens, queer, gender, realistic fiction, fiction"
Finding Yvonne,"contemporary, young adult, romance, realistic fiction, fiction, young adult, audiobook"
101 Ways to Dance,"short stories, young adult, canada, teen"
The Way We Work: Getting to Know the Amazing Human Body,"science, non-fiction, reference, childrens, biology, health, bodies"
Wrong About the Guy,"young adult, romance, retellings, contemporary, chick lit, young adult, contemporary"
Across the Universe,"young adult, science fiction, dystopia, romance, fantasy, fiction, mystery"
Reign,"romance, young adult, audiobook, fiction, contemporary, chick lit, fantasy"
Postcards From No Man's Land,"young adult, historical, fiction, historical, war, lgbt, realistic fiction"
Sawkill Girls,"horror, young adult, fantasy, lgbt, mystery, fiction, thriller"
Before the Devil Breaks You,"fantasy, historical, young adult, paranormal, audiobook, horror, historical"
Dragonfly in Amber,"historical, romance, fantasy, fiction, time travel, historical, historical"
Walk Two Moons,"young adult, fiction, middle grade, childrens, realistic fiction, school, classics"
Maybe He Just Likes You,"middle grade, realistic fiction, fiction, young adult, contemporary, audiobook, childrens"
Children of Blood and Bone,"fantasy, young adult, fiction, audiobook, magic, young adult, romance"
Beautiful Redemption,"fantasy, young adult, paranormal, romance, fiction, magic, supernatural"
Losing Hope,"romance, new adult, young adult, contemporary, fiction, contemporary, abuse"
Burned (SS),"young adult, mystery, fiction, contemporary, romance, thriller, chick lit"
Falling into Place,"young adult, contemporary, fiction, mental health, realistic fiction, young adult, mental health"
One Life,"non-fiction, memoir, sports, audiobook, lgbt, biography, feminism"
The Silent Wife,"fiction, thriller, mystery, mystery, audiobook, suspense, psychology"
The Rest of Us Just Live Here,"young adult, fantasy, contemporary, fiction, lgbt, audiobook, paranormal"
The Underground Railroad,"historical, fiction, historical, audiobook, literary fiction, race, african american"
King Dork,"young adult, fiction, humor, mystery, teen, music, coming of age"
Titans and Olympians: Greek and Roman Myth,"mythology, historical, reference, greek mythology, folklore, non-fiction"
The Truth of Right Now,"young adult, contemporary, romance, coming of age, realistic fiction, mental health, family"
A Breath of Snow and Ashes,"historical, romance, fantasy, fiction, time travel, historical, historical"
Mask of Shadows,"fantasy, young adult, lgbt, queer, fiction, young adult, romance"
Sweet Treats and Secret Crushes,"romance, young adult, middle grade, realistic fiction, contemporary, fiction, chick lit"
End of Watch,"horror, fiction, thriller, mystery, crime, audiobook, mystery"
War Storm,"fantasy, young adult, dystopia, romance, fiction, young adult, audiobook"
Cashelmara,"historical, fiction, ireland, historical, romance, 19th century, gothic"
Forging the Darksword,"fantasy, fiction, science fiction, high fantasy, magic, epic, dragons"
Crave,"fantasy, romance, young adult, vampires, paranormal, audiobook, fiction"
Champion,"dystopia, young adult, romance, fantasy, science fiction, fiction, audiobook"
Revival,"horror, fiction, thriller, audiobook, fantasy, mystery, science fiction"
Teen Spirit,"young adult, fantasy, paranormal, ghosts, supernatural, fiction, romance"
Of Jenny and the Aliens,"young adult, science fiction, romance, fiction, aliens, contemporary, teen"
The Word for Yes,"young adult, contemporary, realistic fiction, fiction, young adult, social, high school"
Grace and Glory,"fantasy, romance, paranormal, young adult, audiobook, urban, angels"
Don't Say a Word,"thriller, fiction, crime, mystery, suspense, mystery, adult"
Wash Day Diaries,"graphic novel, comic book, fiction, contemporary, lgbt, queer, adult"
The Darkest Minds,"young adult, dystopia, fantasy, science fiction, romance, fiction, paranormal"
The Dead Inside,"memoir, non-fiction, mental health, abuse, autobiography, adult, biography"
Debating Darcy,"young adult, romance, contemporary, retellings, fiction, audiobook, realistic fiction"
The Elegant Gathering of White Snows,"fiction, chick lit, book club, contemporary, womens, womens, adult"
Alichino,"manga, fantasy, graphic novel, comic book, shojo, fiction, horror"
Lore Olympus: Volume Two,"graphic novel, fantasy, romance, mythology, comic book, retellings, fiction"
Glory O'Brien's History of the Future,"young adult, magic, fantasy, contemporary, fiction, science fiction, teen"
Through the Ever Night,"young adult, dystopia, fantasy, romance, science fiction, post apocalyptic, fiction"
Born a Crime: Stories from a South African Childhood,"non-fiction, memoir, biography, audiobook, humor, autobiography, africa"
The Third Side: Why We Fight and How We Can Stop,"non-fiction, psychology, philosophy, management, business, social"
Good Idea,"mystery, young adult, fiction, thriller, lgbt, mystery, audiobook"
Making Bombs for Hitler,"historical, middle grade, young adult, historical, world war ii, fiction, war"
Tangled,"young adult, romance, contemporary, realistic fiction, chick lit, teen, fiction"
The Power of Six,"young adult, fantasy, science fiction, fiction, aliens, adventure, paranormal"
The Treatment,"dystopia, young adult, romance, science fiction, fiction, mental health, audiobook"
The Boleyn Inheritance,"historical, fiction, historical, romance, tudor period, british literature, adult"
Ugly Love,"contemporary, new adult, fiction, contemporary, audiobook, adult, chick lit"
Lair of Dreams,"fantasy, young adult, historical, paranormal, audiobook, mystery, historical"
The Mark of Athena,"fantasy, mythology, young adult, fiction, middle grade, adventure, greek mythology"
How to Be Popular,"young adult, romance, contemporary, chick lit, fiction, teen, realistic fiction"
The Lords of Discipline,"fiction, historical, military, southern, classics, , coming of age"
Final Appeal,"mystery, fiction, thriller, law, mystery, suspense, crime"
Genesis Begins Again,"middle grade, realistic fiction, young adult, fiction, contemporary, african american, family"
Night Star,"young adult, fantasy, paranormal, romance, fiction, supernatural, paranormal"
Boy Girl Boy,"young adult, lgbt, , fiction, queer, teen, romance"
Dead End,"young adult, realistic fiction, romance, fiction, contemporary, abuse, mystery"
Bait,"young adult, fiction, abuse, lgbt, contemporary, realistic fiction, teen"
WeirDo Series: Mega Weird!,"childrens, fiction, school"
Geektastic: Stories from the Nerd Herd,"short stories, young adult, fiction, anthology, contemporary, humor, fantasy"
Taken at Dusk,"fantasy, young adult, paranormal, vampires, romance, werewolves, supernatural"
Hold Still,"young adult, contemporary, mental health, fiction, realistic fiction, lgbt, romance"
Tempted (CVZ),"young adult, chick lit, contemporary, fiction, romance, high school, boarding school"
The Dark Prophecy,"fantasy, mythology, young adult, middle grade, fiction, adventure, greek mythology"
Escape the Mask,"fantasy, young adult, dystopia, childrens"
Goat Girls: Two Weetzie Bat Books,"young adult, fiction, fantasy, magic, romance, urban, magic"
Dash and Lily's Book of Dares,"young adult, romance, contemporary, christmas, fiction, holiday, realistic fiction"
The Gift (DS),"romance, fiction, chick lit, adult, drama, contemporary, contemporary"
Neferet's Curse,"young adult, fantasy, vampires, paranormal, fiction, romance, supernatural"
Evil Queen,"fantasy, young adult, retellings, romance, young adult, magic, fiction"
No More Excuses: Dismantling Rape Culture,"non-fiction, feminism, adult, social, politics, womens, womens"
Punching Bag,"young adult, mental health, abuse, biography, middle grade, teen, survival"
The Impossible Knife of Memory,"young adult, contemporary, realistic fiction, fiction, romance, mental health, mental health"
How I Grew,"memoir, biography, non-fiction, autobiography, american, biography"
Geography Club,"young adult, lgbt, fiction, queer, contemporary, gay, romance"
The Unbearable Lightness of Being,"fiction, philosophy, , , romance, czech literature, classics"
A Long Walk to Water: Based on a True Story,"historical, young adult, middle grade, fiction, africa, school, realistic fiction"
Wild Tongues Can't Be Tamed: 15 Voices from the Latinx Diaspora,"short stories, young adult, poetry, anthology, audiobook, essays, lgbt"
The Girl Before,"thriller, mystery, fiction, mystery, suspense, audiobook, psychology"
The Rumor Game,"young adult, contemporary, mystery, thriller, mental health, mystery, realistic fiction"
Vampire Academy (A Graphic Novel),"graphic novel, vampires, young adult, fantasy, paranormal, romance, comic book"
The Road,"fiction, science fiction, dystopia, post apocalyptic, horror, , "
Feral Youth,"young adult, short stories, contemporary, anthology, lgbt, fiction, retellings"
Tin Star,"science fiction, young adult, aliens, space, romance, fiction, dystopia"
Caravaggio: Painter on the Run,"historical, young adult, historical, fiction"
The Casual Vacancy,"fiction, contemporary, mystery, adult, adult, audiobook, drama"
Manga Shakespeare: A Midsummer Night's Dream,"manga, fantasy, graphic novel, classics, comic book, romance, plays"
Papillon,"non-fiction, biography, classics, memoir, adventure, autobiography, france"
One Hundred Years of Solitude,"fiction, magic, fantasy, , historical, , spain"
Shiver,"young adult, fantasy, romance, paranormal, werewolves, fiction, paranormal"
Chocolat,"fiction, romance, magic, france, fantasy, contemporary, historical"
Lulu is a Rhinoceros,"picture books, childrens, animals, dogs, fiction, humor, graphic novel"
The Guernsey Literary and Potato Peel Pie Society,"historical, fiction, romance, historical, world war ii, audiobook, book club"
Burned (PCC),"young adult, vampires, fantasy, paranormal, romance, fiction, supernatural"
A Painted House,"fiction, historical, mystery, thriller, suspense, historical, "
The Lucky One,"romance, fiction, chick lit, contemporary, adult, contemporary, adult"
Kiss Number 8,"graphic novel, lgbt, young adult, comic book, queer, romance, fiction"
Fever Crumb,"steampunk, young adult, fantasy, science fiction, fiction, dystopia, teen"
Dreamplace,"picture books, childrens"
Girls In Pants: The Third Summer Of The Sisterhood,"young adult, fiction, chick lit, contemporary, romance, teen, realistic fiction"
Can You See Me?,"autistic spectrum disorder, middle grade, fiction, contemporary, disability, young adult, realistic fiction"
Montana 1948,"fiction, historical, westerns, coming of age, school, classics, literary fiction"
Zen and the Art of Faking It,"young adult, realistic fiction, fiction, humor, middle grade, teen, contemporary"
Hopeless,"romance, new adult, young adult, contemporary, fiction, contemporary, abuse"
The Pants Project,"lgbt, middle grade, young adult, contemporary, realistic fiction, fiction, queer"
A Feast for Crows,"fantasy, fiction, epic, high fantasy, science fiction, adult, audiobook"
That Weekend,"mystery, young adult, thriller, mystery, audiobook, fiction, contemporary"
Daughter of the Forest,"fantasy, romance, fiction, historical, young adult, fairy tales, retellings"
Dragons of Darkness,"fantasy, dragons, young adult, urban, fiction"
The Man from St. Petersburg,"fiction, historical, thriller, mystery, historical, suspense, espionage"
A People's History of the United States,"historical, non-fiction, politics, american, historical, audiobook, social"
Iron Widow,"fantasy, science fiction, young adult, lgbt, queer, fiction, romance"
This Book Is Gay,"non-fiction, lgbt, , queer, gay, self help, humor"
Envy,"historical, young adult, romance, historical, fiction, historical, chick lit"
Wicked: Memorias de una bruja mala,"fantasy, fiction, adult, retellings, audiobook, witches, classics"
Blaine for the Win,"young adult, romance, contemporary, lgbt, queer, fiction, audiobook"
Brides of Eden: A True Story Imagined,"historical, young adult, fiction, historical, cults, teen, "
Surrender Your Sons,"young adult, lgbt, thriller, contemporary, queer, mystery, fiction"
Gates of Paradise,"young adult, vampires, fantasy, paranormal, romance, angels, supernatural"
Slaughterhouse-Five,"fiction, science fiction, classics, historical, war, , "
Happiness Sold Separately,"fiction, chick lit, romance, contemporary, audiobook, adult, adult"
The Rule of Claw,"science fiction, dystopia, young adult, adventure, fiction"
Heroine,"young adult, contemporary, fiction, realistic fiction, audiobook, mental health, sports"
Sail,"mystery, fiction, thriller, suspense, crime, mystery, audiobook"
Maybe Someday,"romance, new adult, contemporary, fiction, contemporary, young adult, audiobook"
What Girls Learn,"fiction, literary fiction, coming of age, illness, , young adult, contemporary"
Bloom,"graphic novel, romance, young adult, lgbt, queer, comic book, contemporary"
WeirDo Series: Vote Weirdo,"childrens, graphic novel"
The Librarian of Auschwitz,"historical, young adult, fiction, historical, holocaust, world war ii, war"
Spontaneous,"young adult, contemporary, fiction, humor, romance, mystery, science fiction"
In the Wild Light,"young adult, fiction, realistic fiction, contemporary, romance, audiobook, coming of age"
Fault Line,"young adult, fiction, realistic fiction, abuse, romance, teen, young adult"
Tales of the Madman Underground,"young adult, fiction, historical, realistic fiction, contemporary, teen, coming of age"
Candidly Cline,"middle grade, lgbt, contemporary, realistic fiction, music, fiction, juvenile"
The Gravity of Us,"lgbt, romance, young adult, contemporary, queer, fiction, gay"
Lucas,"young adult, fiction, romance, contemporary, mystery, realistic fiction, young adult"
Birthright,"romance, romance, mystery, fiction, contemporary, contemporary, suspense"
Amy and Roger's Epic Detour,"young adult, contemporary, romance, fiction, road trip, young adult, realistic fiction"
Where the World Ends,"historical, young adult, fiction, historical, adventure, survival, scotland"
Lore Olympus: Volume Three,"graphic novel, fantasy, romance, mythology, comic book, fiction, retellings"
Stop in the Name of Pants!,"young adult, romance, humor, fiction, chick lit, contemporary, teen"
Dancing at the Pity Party: A Dead Mom Graphic Memoir,"graphic novel, memoir, non-fiction, comic book, death, family, biography"
The Traitor's Game,"fantasy, young adult, romance, audiobook, young adult, fiction, adventure"
Blood Memory,"mystery, fiction, thriller, suspense, mystery, crime, horror"
Insignificant Events In The Life Of A Cactus,"middle grade, realistic fiction, fiction, mystery, young adult, audiobook, disability"
Nearly Found,"young adult, mystery, mystery, romance, thriller, contemporary, suspense"
These Witches Don't Burn,"fantasy, lgbt, young adult, romance, lesbian, queer, witches"
Unbelievable,"young adult, mystery, fiction, contemporary, romance, chick lit, thriller"
Killing Time in Crystal City,"young adult, contemporary, fiction, realistic fiction, family"
It Had To Be You,"young adult, chick lit, fiction, contemporary, romance, teen, high school"
Layoverland,"young adult, romance, fantasy, contemporary, fiction, magic, humor"
Furyborn,"fantasy, young adult, young adult, romance, fiction, high fantasy, magic"
Killer Spirit,"young adult, mystery, espionage, romance, contemporary, high school, action"
The Maze Runner,"young adult, dystopia, science fiction, fiction, fantasy, audiobook, post apocalyptic"
The One Tree,"fantasy, fiction, science fiction, epic, science fiction, high fantasy, epic"
The Big Bad Wolf Tells All,"romance, chick lit, contemporary, contemporary, fiction, humor, paranormal"
In a Handful of Dust,"young adult, dystopia, post apocalyptic, science fiction, audiobook, fiction, survival"
The Love that Split the World,"young adult, romance, fantasy, contemporary, time travel, magic, fiction"
Zenobia July,"middle grade, lgbt, queer, realistic fiction, young adult, fiction, mystery"
Truthwitch,"fantasy, young adult, magic, young adult, witches, romance, high fantasy"
City of Thieves (DB),"historical, fiction, war, historical, russia, world war ii, audiobook"
Friends Forever,"graphic novel, middle grade, memoir, mental health, comic book, realistic fiction, childrens"
Ready or Not,"young adult, romance, chick lit, contemporary, fiction, teen, realistic fiction"
Yolk,"fiction, contemporary, young adult, mental health, romance, audiobook, new adult"
Chain Of Thorns,"fantasy, young adult, romance, historical, young adult, paranormal, urban"
All My Friends Are Dead,"humor, fiction, graphic novel, picture books, comic book, comedy, childrens"
Imagine Me,"fantasy, dystopia, romance, young adult, science fiction, fiction, romance"
Plum Lovin,"mystery, fiction, humor, chick lit, romance, audiobook, crime"
Plunking Reggie Jackson,"baseball, sports"
Crown of Midnight,"young adult, romance, fiction, magic, romance, young adult, high fantasy"
Home,"mystery, fiction, thriller, crime, suspense, mystery, audiobook"
Shut Out,"young adult, romance, contemporary, sports, chick lit, high school, realistic fiction"
The Sound of Letting Go,"young adult, contemporary, romance, realistic fiction, poetry, music, fiction"
This World We Live In,"young adult, dystopia, science fiction, post apocalyptic, fiction, survival, apocalyptic"
We Set the Dark on Fire,"fantasy, young adult, lgbt, lesbian, queer, fiction, romance"
Different Seasons: Four Novellas,"horror, fiction, short stories, thriller, mystery, fantasy, drama"
The Family,"historical, fiction, historical, italy, crime, thriller, audiobook"
Fangirl,"young adult, contemporary, fiction, realistic fiction, new adult, audiobook, coming of age"
The Girl Who Played with Fire,"fiction, mystery, thriller, crime, mystery, suspense, audiobook"
Every Hidden Thing,"young adult, historical, romance, historical, adventure, fiction, teen"
Let's Go Swimming on Doomsday,"young adult, realistic fiction, contemporary, fiction, war, africa, historical"
My Friends and Me,"family, picture books, childrens, lgbt, storytime, love, fiction"
Elton John,"picture books, non-fiction, biography, music, childrens, lgbt, historical"
Water for Elephants,"fiction, historical, romance, historical, adult, adult, contemporary"
Ashes to Ashes,"young adult, contemporary, paranormal, romance, fantasy, fiction, mystery"
Dealing with Dragons,"fantasy, young adult, dragons, fiction, middle grade, childrens, magic"
The Dark Light,"historical, young adult, fiction, disease, illness, historical"
The White Dragon,"fantasy, science fiction, dragons, fiction, science fiction, young adult, high fantasy"
Sleepless,"horror, young adult, mystery, fiction, supernatural, thriller, romance"
The Pillars of the Earth,"historical, fiction, historical, fantasy, classics, audiobook, medieval"
The Fiery Cross,"historical, romance, fantasy, fiction, time travel, historical, historical"
Anger Is a Gift,"young adult, contemporary, lgbt, fiction, queer, realistic fiction, mental health"
Anna and the Swallow Man,"historical, young adult, fiction, historical, war, audiobook, world war ii"
Victoria and the Rogue,"young adult, romance, historical, historical, historical, chick lit, fiction"
Human Body: a visual encyclopedia,"science, non-fiction, childrens, reference, education, medical, health"
The Curse of King Tut's Tomb,"graphic novel, childrens, non-fiction, egypt, historical"
Rise,"young adult, fantasy, paranormal, werewolves, romance, magic, supernatural"
Spanish Love Deception,"enemies to lovers, contemporary, contemporary, fiction, adult, audiobook, chick lit"
All Your Perfects,"romance, contemporary, fiction, contemporary, audiobook, new adult, adult"
Say You're One of Them,"fiction, short stories, africa, historical, war, africa, rwanda"
Fatal Tide,"mystery, fiction, suspense, romance, thriller, romance, mystery"
